Primary Type,Location Description,Arrest,Domestic,Year
OTHER OFFENSE,school - public grounds,0,False,2023
BURGLARY,bar or tavern,0,False,2023
BATTERY,grocery food store,0,True,2023
THEFT,apartment,0,False,2023
BATTERY,school - public building,0,False,2023
BATTERY,sidewalk,1,True,2023
THEFT,apartment,0,False,2023
MOTOR VEHICLE THEFT,street,0,False,2023
BURGLARY,vehicle non-commercial,0,False,2023
DECEPTIVE PRACTICE,currency exchange,0,False,2023
BATTERY,residence,0,True,2023
THEFT,vehicle non-commercial,0,False,2023
CRIMINAL DAMAGE,residence,0,False,2023
BATTERY,residence,0,True,2023
BURGLARY,apartment,0,False,2023
THEFT,vehicle non-commercial,0,False,2023
ASSAULT,school - public grounds,0,False,2023
DECEPTIVE PRACTICE,apartment,0,False,2023
BATTERY,apartment,0,True,2023
BURGLARY,apartment,0,True,2023
THEFT,street,0,False,2023
DECEPTIVE PRACTICE,other (specify),0,False,2023
MOTOR VEHICLE THEFT,other (specify),0,False,2023
ASSAULT,residence,0,True,2023
